Month and year,Ad unit,Impressions,Viewability,Ad requests
04/2022,MMTelediarioMx,64,"0,00",25800
04/2022,MMTelediarioSaltillo,6189,"0,50",1075
04/2022,Multimedios_APP,128141,"0,91",15549
04/2022,Multimedios_Radio,92686,"0,90",9504
04/2022,NewTelediarioMx,55316097,"0,20",65093555
04/2022,Tablet_APP_NewTDMx,858,"0,96",90000
04/2022,Telediario_APP,103,"0,88",133
05/2022,AMP_MMTelediarioCR,138762,"0,58",16820
05/2022,AMP_NewTelediarioMx,5077905,"0,64",6104233
05/2022,APP_MMTelediarioCR,23295,"0,80",4379
05/2022,APP_NewTDMx,344608,"0,84",57198
05/2022,Default,4747,"0,43",10392
05/2022,MMCostaRica,673,"0,04",140
05/2022,MMDigital,18721455,"0,51",22374185
05/2022,MMDigital_App,13,"0,60",1400
05/2022,MMDigital_Passback,83413,"0,14",14696
05/2022,MMLaguna,11356,"0,91",2184
05/2022,MMLaguna_App,429,"0,94",63600
05/2022,MMPuebla,975,"0,90",202
05/2022,MMRadio,453589,"0,44",62728
05/2022,MMTelediarioBajio,3001,"0,91",399
05/2022,MMTelediarioCR,5522032,"0,26",11482517
05/2022,MMTelediarioGDL,5,"0,25",900
05/2022,MMTelediarioJuarez,648,"0,82",96900
05/2022,MMTelediarioLaguna,20,"0,00",5600
05/2022,MMTelediarioMty,88,"0,06",32500
05/2022,MMTelediarioMx,33,"0,13",9900
05/2022,MMTelediarioSaltillo,6801,"0,50",1110
05/2022,Multimedios_APP,123953,"0,90",15270
05/2022,Multimedios_Radio,114722,"0,90",11724
05/2022,NewTelediarioMx,28339240,"0,22",34605730
05/2022,Tablet_APP_NewTDMx,942,"0,95",102
05/2022,Telediario_APP,961,"0,88",124
06/2022,AMP_MMTelediarioCR,205137,"0,58",26860
06/2022,AMP_NewTelediarioMx,4552591,"0,64",6224922
06/2022,APP_MMTelediarioCR,24463,"0,80",5326
06/2022,APP_NewTDMx,216605,"0,83",50125
06/2022,Default,4669,"0,44",2349
06/2022,MMCostaRica,2389,"0,04",476
06/2022,MMDigital,18540102,"0,53",23528294
06/2022,MMDigital_App,3,"0,00",300
06/2022,MMDigital_Passback,9668,"0,14",16689
06/2022,MMLaguna,14109,"0,93",2748
06/2022,MMLaguna_App,277,"0,89",40500
06/2022,MMPuebla,905,"0,90",206
