Month and year,Ad unit,Impressions,Viewability,Ad requests
05/2024,Ad Exchange Mobile In-App,0,"0,00",10000
05/2024,Bloque_Hotsale_TD,59,"0,90",14400
05/2024,Default,7148,"0,69",3034
05/2024,Hotsale_slide,12392978,"0,10",17691368
05/2024,MMCostaRica,89,"0,00",32600
05/2024,MMDigital,593932,"0,59",1561774
05/2024,MMDigital_App,3,"0,67",700
05/2024,MMLaguna,408,"0,68",58900
05/2024,MMLaguna_App,2,"1,00",600
05/2024,MMPuebla,506,"0,66",744
05/2024,MMRadio,38,"0,37",10200
05/2024,MMTelediarioCR,6514105,"0,20",12877942
05/2024,Multimedios_APP,769,"0,93",108
05/2024,Multimedios_Radio,22,"0,77",3200
05/2024,NewTelediarioMx,22590492,"0,27",39557905
05/2024,New_MMRadio,139651,"0,77",56449
05/2024,New_MM_Television,934733,"0,44",3100173
05/2024,Oscars,2,"0,50",400
05/2024,Tablet_APP_Besame,14,"1,00",2900
05/2024,Tablet_APP_Classic,403,"0,90",63200
05/2024,Tablet_APP_D99,64,"0,95",25600
05/2024,Tablet_APP_FMtu,15,"1,00",1900
05/2024,Tablet_APP_Hits,21,"1,00",2500
05/2024,Tablet_APP_Kebuena,3,"0,67",300
05/2024,Tablet_APP_LaCaliente,31,"0,97",8300
05/2024,Tablet_APP_LaGranAW,0,"0,00",300
05/2024,Tablet_APP_LaLupe,167,"0,98",21300
05/2024,Tablet_APP_Los40,0,"0,00",200
05/2024,Tablet_APP_NewMMTV,25066,"0,89",4679
05/2024,Tablet_APP_NewTDMx,13756,"0,78",2878
05/2024,Tablet_APP_RGDeportiva,1326,"0,90",192
05/2024,Telediario_APP,20,"0,95",4500
05/2024,test_video_320323,3018,"0,96",3590
06/2024,AMP_MMTelediarioCR,595505,"0,51",89909
06/2024,AMP_NewTelediarioMx,4708968,"0,55",8163505
06/2024,APP_Besame,265,"0,95",51800
06/2024,APP_Classic,7382,"0,95",1181
06/2024,APP_D99,1681,"0,97",314
06/2024,APP_FMtu,523,"0,96",83100
06/2024,APP_Hits,883,"0,96",164
06/2024,APP_Kebuena,540,"0,99",106
06/2024,APP_LaCaliente,5554,"0,97",1108
06/2024,APP_LaGranAW,377,"1,00",61300
06/2024,APP_LaLupe,2787,"0,97",438
06/2024,APP_Los40,268,"0,97",44200
06/2024,APP_MMTelediarioCR,13056,"0,85",2489
06/2024,APP_NewMMTV,164578,"0,90",35205
06/2024,APP_NewTDMx,189017,"0,78",42207
06/2024,APP_RGLaDeportiva,61476,"0,94",9646
06/2024,Default,2869,"0,83",935
06/2024,Hotsale_slide,328,"0,13",3434
06/2024,MMCostaRica,4,"0,25",13900
06/2024,MMDigital,460531,"0,43",1210502
06/2024,MMLaguna,133,"0,30",179
06/2024,MMLaguna_App,3,"1,00",1200
06/2024,MMPuebla,3197,"0,62",416
06/2024,MMRadio,2,"1,00",1500
06/2024,MMTelediarioCR,2231652,"0,37",8109830
06/2024,Multimedios_APP,464,"0,94",81900
06/2024,Multimedios_Radio,88,"0,88",13000
06/2024,NewTelediarioMx,14483951,"0,34",28615493
06/2024,New_MMRadio,77994,"0,74",30998
06/2024,New_MM_Television,693017,"0,46",2698640
06/2024,Tablet_APP_Besame,4,"1,00",5500
06/2024,Tablet_APP_Classic,249,"0,87",51600
06/2024,Tablet_APP_D99,26,"0,96",19300
06/2024,Tablet_APP_FMtu,50,"0,94",36300
06/2024,Tablet_APP_Hits,5,"1,00",800
06/2024,Tablet_APP_Kebuena,6,"1,00",1600
06/2024,Tablet_APP_LaCaliente,24,"0,96",8800
06/2024,Tablet_APP_LaGranAW,4,"1,00",2000
06/2024,Tablet_APP_LaLupe,60,"0,95",14800
06/2024,Tablet_APP_Los40,0,"0,00",1300
06/2024,Tablet_APP_NewMMTV,14911,"0,88",3866
06/2024,Tablet_APP_NewTDMx,6307,"0,73",1625
06/2024,Tablet_APP_RGDeportiva,588,"0,88",115
06/2024,Telediario_APP,7,"1,00",2300
06/2024,YouTube_New_TDCR,0,"0,00",200
06/2024,YouTube_New_TDMX,29,"0,60",5900
06/2024,test_video_320323,24068,"0,96",2934
